192.168.2.210,443,20350604,Jun  4 11:04:38 2035 GMT,"subject=C=US, O=Internet Security Research Group, CN=ISRG Root X1"
192.168.2.210,443,20250915,Sep 15 16:00:00 2025 GMT,"subject=C=US, O=Let's Encrypt, CN=R3"
192.168.2.210,443,20240930,Sep 30 18:14:03 2024 GMT,"subject=C=US, O=Internet Security Research Group, CN=ISRG Root X1"
192.168.2.210,10443,20240223,Feb 23 18:01:53 2024 GMT,"subject=CN=training.anapartner.net"
192.168.2.210,10443,20350604,Jun  4 11:04:38 2035 GMT,"subject=C=US, O=Internet Security Research Group, CN=ISRG Root X1"
192.168.2.210,10443,20250915,Sep 15 16:00:00 2025 GMT,"subject=C=US, O=Let's Encrypt, CN=R3"
192.168.2.210,10443,20240930,Sep 30 18:14:03 2024 GMT,"subject=C=US, O=Internet Security Research Group, CN=ISRG Root X1"
192.168.2.210,8443,20310405,Apr  5 14:55:57 2031 GMT,"subject=CN=caim-srv-01"
192.168.2.210,8444,20310405,Apr  5 14:57:58 2031 GMT,"subject=CN=caip-srv-01"
192.168.2.210,8445,20310405,Apr  5 14:58:10 2031 GMT,"subject=CN=caig-srv-01"
192.168.2.210,20390,20260923,Sep 24 04:55:40 2026 GMT,"subject=C=US, ST=NY, O=Identity Management, OU=Provisioning Services, CN=eta_server"
192.168.2.210,20390,20260923,Sep 24 04:55:38 2026 GMT,"subject=C=US, ST=NY, L=Islandia, O=Identity Management, OU=Provisioning Services"
192.168.2.210,20391,20260923,Sep 24 04:55:40 2026 GMT,"subject=C=US, ST=NY, O=Identity Management, OU=Provisioning Services, CN=eta_server"
192.168.2.210,20391,20260923,Sep 24 04:55:38 2026 GMT,"subject=C=US, ST=NY, L=Islandia, O=Identity Management, OU=Provisioning Services"
192.168.2.210,20394,20260923,Sep 24 04:55:40 2026 GMT,"subject=C=US, ST=NY, O=Identity Management, OU=Provisioning Services, CN=eta_server"
192.168.2.210,20394,20260923,Sep 24 04:55:38 2026 GMT,"subject=C=US, ST=NY, L=Islandia, O=Identity Management, OU=Provisioning Services"
192.168.2.210,20396,20260923,Sep 24 04:55:40 2026 GMT,"subject=C=US, ST=NY, O=Identity Management, OU=Provisioning Services, CN=eta_server"
192.168.2.210,20396,20260923,Sep 24 04:55:38 2026 GMT,"subject=C=US, ST=NY, L=Islandia, O=Identity Management, OU=Provisioning Services"
192.168.2.210,20398,20260923,Sep 24 04:55:40 2026 GMT,"subject=C=US, ST=NY, O=Identity Management, OU=Provisioning Services, CN=eta_server"
192.168.2.210,20398,20260923,Sep 24 04:55:38 2026 GMT,"subject=C=US, ST=NY, L=Islandia, O=Identity Management, OU=Provisioning Services"
192.168.2.210,20404,20260923,Sep 24 04:55:40 2026 GMT,"subject=C=US, ST=NY, O=Identity Management, OU=Provisioning Services, CN=eta_server"
192.168.2.210,20404,20260923,Sep 24 04:55:38 2026 GMT,"subject=C=US, ST=NY, L=Islandia, O=Identity Management, OU=Provisioning Services"
